Merk,Nama_Produk,Harga,Ratings,URL
Smiggle,Smiggle Limitless Backpack Trolley With Light Up Wheels - IGL455358BLM,1799000,5.0,https://www.zalora.co.id/p/smiggle-smiggle-limitless-backpack-trolley-with-light-up-wheels-igl455358blm-black-4582281
Smiggle,Smiggle Spider-Man Classic Backpack - IGL445075BLK - Black,0,5.0,https://www.zalora.co.id/p/smiggle-smiggle-spider-man-classic-backpack-igl445075blk-black-black-4264002
ADIDAS,4Athlts Duffel Bag Small,0,5.0,https://www.zalora.co.id/p/adidas-4athlts-duffel-bag-small-black-3188009
ADIDAS,Adicolor Sacoche Bag,0,4.7,https://www.zalora.co.id/p/adidas-adicolor-sacoche-bag-black-4149175
ADIDAS,Classic Badge Of Sport 3-Stripes Backpack,0,4.9,https://www.zalora.co.id/p/adidas-classic-badge-of-sport-3-stripes-backpack-black-3552197
Converse,Go 2 Backpack,699000,5.0,https://www.zalora.co.id/p/converse-go-2-backpack-purple-4682567
Converse,Go 2 Backpack,699000,5.0,https://www.zalora.co.id/p/converse-go-2-backpack-black-4435706
Converse,Straight Edge Backpack,899000,5.0,https://www.zalora.co.id/p/converse-straight-edge-backpack-black-4418100
Converse,Straight Edge Backpack,899000,5.0,https://www.zalora.co.id/p/converse-straight-edge-backpack-grey-4682563
ADIDAS,Mini Airliner Bag,0,0.0,https://www.zalora.co.id/p/adidas-mini-airliner-bag-silver-4776890
Converse,Speed 3 Backpack,459000,5.0,https://www.zalora.co.id/p/converse-speed-3-backpack-purple-4681360
Converse,Go Lo Backpack,499000,5.0,https://www.zalora.co.id/p/converse-go-lo-backpack-purple-4681357
Converse,Go Lo Backpack,499000,5.0,https://www.zalora.co.id/p/converse-go-lo-backpack-grey-4681361
Converse,Speed 3 Backpack,459000,4.9,https://www.zalora.co.id/p/converse-speed-3-backpack-beige-4681356
Converse,Speed 3 Backpack,459000,4.9,https://www.zalora.co.id/p/converse-speed-3-backpack-grey-4681358
Nike,Older Kids' Backpack (25L),479000,5.0,https://www.zalora.co.id/p/nike-older-kids-backpack-25l-red-4674503
Hush Puppies,Peppy Backpack,1199000,5.0,https://www.zalora.co.id/p/hush-puppies-peppy-backpack-pink-4382477
